tweet;replies_count;retweets_count;likes_count
Laga Final Piala Dunia, Bupati Zaki Jagokan Argentina  https://t.co/48K595vlSF;0;0;0
asam lambung naek gara² nonton final piala dunia anjer, bangun² sakit perut;0;0;0
Biasanya grup yang tahun ini menang piala dunia tahun depannya ga masuk perempat final sama sekali, Prancis hebat karena sanggup ke final meskipun Runner-Up 1. Gapapa 😂👍🏻💕;0;0;0
@MardaniAliSera Logikanya..... Kalau seadanya tak mungkin lah lolos ke piala dunia bahkan sampai semi final. Sok tau !!! Pemainnya banyak yg bermain di liga Eropa...sekelas PSG.  Itu bukan pemain2 seadanya. 🤮;0;1;7
gila 🔥🔥🔥🔥 final piala dunia terbaik;0;0;0
@Robbi_07 @idextratime Generasi emasnya aja cuma mampu nembus final Euro 2004 ama semi final Piala Dunia 2006.;0;0;5
Pemain Brighton and Hove Albion bermain di final Piala Dunia, mencatatkan assist, dan memenangkannya. 🇦🇷  https://t.co/pqIZYXAX8p;79;135;2646
semoga uang kalian hasil judi final piala dunia tidak berkah;1;0;0
cristiano ronaldo dapet euro 2016 itu udah bener2 obat buat dia waktu 2004 pas masih muda di final kalah yunani.  dan leo messi dapet piala dunia 2022 ini udah bener2 obat buat sakit hati argentina tahun 2014 yg dibuat sm gotze.;0;0;1
Selama piala dunia ini sampe pertandingan final kemaren, tebakanku selalu salah hahaha;0;0;0
senin telat. nobar final piala dunia, bu.;0;0;0
Dunia ini perlumbaan. Mlm tadi berdebar final Piala Dunia. Hari ini parlimen undi percaya PMX..🤔;0;0;0
Deretan Rekor Lionel Messi di Final Piala Dunia 2022, Tutup Karier dengan Trofi  https://t.co/XyutZZIxaC via @kabarbintang.id  #LionelMessi𓃵  #ArgentinaVsFrance;0;0;0
Final Piala Dunia 2022: Kylian Mbappe Tak Kuasa Menahan Tangis Ditenangkan Presiden Prancis  https://t.co/VYUESvIykH  https://t.co/tvtpMnRitx;0;0;0
Pengamanan Antisipasi Konvoi Final Piala Dunia 2022 #Polripresisi #PolrestaAmbon #KapolrestaAmbon #Humaspolrestaambon #PolsekLeihitu #BasudaraManise  https://t.co/FmSx9CclpS;0;0;0
Hasil Final Piala Dunia 2022 Tadi Malam, Argentina vs Prancis, Tim Tango Juara, Lionel Messi Terbaik  https://t.co/v38PjPU4kK  https://t.co/OaVQlxeKMH;0;0;0
NOBAR FINAL PIALA DUNIA..  ARGENTINA WINNER.. 🇦🇷🇦🇷🏆🏆  Full senyum.. @ Senayan Spark  https://t.co/BT13h0ajJm;0;0;0
-11fess kapan ya Indonesia bisa juara piala dunia, tapi tersadar ikut jalur kualifiasi saja belum pernah lolos ke putaran final;0;0;0
PAM Euforia Final Piala Dunia 2022 di Kota Ambon #WorldCupFinal #FIFAWorldCup #ArgentinaVsFrance #Qatar2022 #Messi𓃵 #WorldCup #polrestaambon #polripresisi  https://t.co/34lwmRUiC7;0;0;3
Kamu nonton final piala dunia 2022 tadi malam gak? Kamu dukung siapa semalam teman pro 2? Kasih tau dong siapa pemain favorit kamu dan part favorit kamu di piala dunia tahun ini! Jawab sambil Request lagu ygy!! Fai tunggu sampai jam 9👌#Pro2Activity;0;0;1
Gareth Southgate akan tetap menjabat pelatih tim nasional Inggris meskipun gagal membawa Three Lions melewati babak perempat final Piala Dunia 2022.  https://t.co/8e2I46ZOYA;0;0;1
nonton final piala dunia argentina vs france bikin senam jantung yaa, udah pede ngeliat di babak awal argentina unggulin scor,eh si mbape bisa bisa nya dia hat trick cetak gol sampe 3 kali,bikin scor seri malah akhirnya berakhir pinalty.;1;0;0
7 Fakta Penting Final Piala Dunia 2022, Trofi Ketiga Argentina!  https://t.co/XQFZZHvFkV;0;1;1
